Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
33.00649	36.903	6.68	24.95	12.61	14.29	0.21	0.24	0.064	0.0	0.0	0.0	BAYK_GPS	0.44	0.47
32.94027	36.09618	9.24	24.75	15.48	14.07	0.28	0.3	0.002	0.0	0.0	0.0	BOZ2_GPS	0.55	0.56
32.92189	41.86401	20.84	25.24	24.9	14.56	0.33	0.42	-0.002	0.0	0.0	0.0	CIDE_GIZ	0.63	0.73
32.91573	36.61893	6.3	22.85	12.35	12.16	0.4	0.47	0.004	0.0	0.0	0.0	ERME_GPS	0.73	0.8
32.876	41.07786	16.86	22.8	21.23	12.11	0.18	0.22	0.027	0.0	0.0	0.0	KRAC_GPS	0.39	0.44
32.8738	41.3034	18.55	24.51	22.83	13.82	0.29	0.36	0.055	0.0	0.0	0.0	ALRN_GPS	0.57	0.65
32.72992	37.95239	1.92	22.88	7.49	12.15	0.2	0.22	-0.0	0.0	0.0	0.0	SUTC_GPS	0.42	0.44
32.71298	39.12965	-2.82	24.11	2.31	13.38	0.21	0.25	0.077	0.0	0.0	0.0	BURU_GPS	0.44	0.49
32.69392	41.31073	19.32	23.9	23.62	13.16	0.12	0.15	0.011	0.0	0.0	0.0	SAFR_GDU	0.28	0.33
32.686	40.76621	2.19	21.79	6.7	11.05	0.13	0.15	0.021	0.0	0.0	0.0	KRTS_GPS	0.3	0.33
32.67583	37.03157	5.85	23.98	11.74	13.14	0.37	0.42	0.037	0.0	0.0	0.0	BDML_GPS	0.69	0.73
32.67277	40.92572	13.14	20.49	17.59	9.75	0.17	0.21	-0.042	0.0	0.0	0.0	KITE_GPS	0.37	0.42
32.60985	37.3261	4.7	23.44	10.52	12.68	0.18	0.21	0.041	0.0	0.0	0.0	DNEK_GPS	0.39	0.42
32.60457	40.65967	0.29	21.01	4.85	10.25	0.31	0.38	0.017	0.0	0.0	0.0	KVBS_GPS	0.6	0.68
32.53271	41.52093	21.94	25.95	26.18	15.18	0.16	0.19	0.012	0.0	0.0	0.0	ULUS_GPS	0.35	0.39
32.5179	39.43105	-4.39	23.54	0.65	12.76	0.14	0.16	0.115	0.0	0.0	0.0	HAYM_GPS	0.32	0.34
32.47106	38.23671	0.29	24.08	5.78	13.29	0.67	0.67	0.035	0.0	0.0	0.0	SRYN_GPS	1.1	1.06
32.4541	41.08853	17.34	23.05	21.76	12.26	0.13	0.15	-0.034	0.0	0.0	0.0	KLTP_GPS	0.3	0.33
32.43535	40.72294	3.53	21.49	8.09	10.69	0.13	0.16	-0.024	0.0	0.0	0.0	KVCK_GPS	0.3	0.34
32.42311	40.50455	-0.76	21.31	3.88	10.51	0.11	0.12	0.023	0.0	0.0	0.0	CAML_GDU	0.26	0.27
32.41891	40.92718	13.9	22.96	18.38	12.16	0.13	0.16	-0.037	0.0	0.0	0.0	IMCI_GPS	0.3	0.34
32.39391	37.86888	2.5	23.67	7.72	12.68	0.56	0.66	-0.024	0.0	0.0	0.0	KONY_GPS	0.95	1.05
32.39168	41.74432	19.75	24.14	23.93	13.33	0.32	0.38	-0.022	0.0	0.0	0.0	AMS2_GPS	0.61	0.68
32.37415	41.68975	20.0	23.15	24.2	12.34	0.95	1.13	0.015	0.0	0.0	0.0	BART_GDU	1.45	1.6
32.34466	38.90569	-2.27	22.99	2.99	12.17	0.11	0.13	0.013	0.0	0.0	0.0	SLKL_GPS	0.26	0.29
32.32084	37.59578	2.88	22.89	8.63	12.06	0.19	0.23	0.011	0.0	0.0	0.0	HTSR_GPS	0.4	0.46
32.30488	41.14349	18.5	24.02	22.92	13.19	0.13	0.16	-0.034	0.0	0.0	0.0	HSRK_GPS	0.3	0.34
32.28137	39.63274	-3.07	21.12	1.92	10.29	0.52	0.58	-0.017	0.0	0.0	0.0	KUCU_GIZ	0.9	0.94
32.27773	36.73172	6.0	22.27	12.08	11.43	0.6	0.65	0.021	0.0	0.0	0.0	CMAL_GPS	1.01	1.03
32.27556	38.50668	-0.88	22.62	4.53	11.78	0.16	0.19	0.042	0.0	0.0	0.0	KLKS_GPS	0.35	0.39
32.26279	40.84982	11.87	22.64	16.4	11.8	0.76	0.89	0.025	0.0	0.0	0.0	NLD2_GPS	1.22	1.32
32.26119	41.10515	18.05	24.26	22.49	13.42	0.14	0.17	-0.157	0.0	0.0	0.0	CMYN_GPS	0.32	0.36
32.24001	39.0987	-3.11	22.16	2.68	11.31	0.72	0.76	0.012	0.0	0.0	0.0	YEME_GPS	1.16	1.17
32.16739	41.27736	19.73	24.56	24.11	13.7	0.15	0.18	-0.016	0.0	0.0	0.0	BODA_GPS	0.33	0.38
32.12149	40.66331	2.21	22.64	6.83	11.77	0.23	0.27	-0.068	0.0	0.0	0.0	BORM_GDU	0.47	0.52
32.0817	38.08532	1.6	21.69	7.2	10.81	0.31	0.37	0.012	0.0	0.0	0.0	KZLU_GPS	0.6	0.66
32.07098	40.86334	12.5	24.11	17.05	13.23	0.14	0.18	-0.077	0.0	0.0	0.0	KTAS_GPS	0.32	0.38
32.06052	41.09843	17.69	24.83	22.15	13.94	0.18	0.23	-0.035	0.0	0.0	0.0	DVLG_GPS	0.39	0.46
32.02208	39.77011	-4.82	22.74	0.15	11.84	0.13	0.14	-0.052	0.0	0.0	0.0	PLTL_GPS	0.3	0.31
31.9687	37.91396	1.7	21.92	7.37	11.01	0.19	0.23	-0.007	0.0	0.0	0.0	DRBN_GPS	0.4	0.46
31.95609	40.25569	-2.77	22.12	2.02	11.21	0.12	0.14	-0.011	0.0	0.0	0.0	TEKE_GPS	0.28	0.31
31.94039	40.82092	11.52	23.96	16.1	13.05	0.19	0.24	-0.026	0.0	0.0	0.0	POST_GPS	0.4	0.47
31.90349	41.18092	19.29	25.44	23.74	14.52	0.16	0.2	-0.04	0.0	0.0	0.0	DEVR_GDU	0.35	0.41
31.86587	37.30388	3.69	21.68	9.6	10.75	0.2	0.22	0.029	0.0	0.0	0.0	MDNL_GPS	0.42	0.44
31.84453	40.93273	15.53	24.38	20.08	13.44	0.27	0.32	-0.022	0.0	0.0	0.0	ELMN_GPS	0.53	0.59
31.83902	40.00534	-4.48	21.58	0.42	10.64	0.19	0.23	-0.04	0.0	0.0	0.0	KRB1_GPS	0.4	0.46
31.83452	40.40026	-1.58	22.75	3.17	11.81	0.16	0.19	-0.015	0.0	0.0	0.0	KIBR_GDU	0.35	0.39
31.80971	38.47826	-1.66	22.02	3.82	11.07	0.2	0.24	-0.023	0.0	0.0	0.0	KNDL_GPS	0.42	0.47
31.70587	38.83141	-1.8	22.52	3.49	11.42	0.55	0.58	-0.007	0.0	0.0	0.0	YNAK_GPS	0.94	0.94
31.68918	39.14103	-2.74	21.14	2.51	10.17	0.13	0.15	-0.057	0.0	0.0	0.0	CLTK_GIZ	0.3	0.33
31.65823	37.65591	3.58	20.66	8.67	9.87	0.56	0.66	-0.192	0.0	0.0	0.0	BYSH_GPS	0.95	1.05
31.65406	40.65433	1.23	24.44	5.91	13.46	0.42	0.49	0.011	0.0	0.0	0.0	SEBN_GPS	0.76	0.83
31.57075	37.89845	2.88	19.01	8.56	7.36	0.6	0.61	0.017	0.0	0.0	0.0	HUYK_GPS	1.01	0.98
31.48069	38.34157	-2.97	20.2	2.94	7.66	1.14	1.44	-0.004	0.0	0.0	0.0	AKSH_GSU	1.68	1.93
31.47852	40.57981	0.37	23.93	5.1	12.91	0.16	0.18	-0.057	0.0	0.0	0.0	ARDC_GDU	0.35	0.38
31.45656	39.84719	-3.23	21.87	1.78	10.84	0.19	0.23	-0.03	0.0	0.0	0.0	MIHH_GDU	0.4	0.46
31.41678	41.20058	19.75	25.26	24.25	14.22	0.22	0.27	-0.06	0.0	0.0	0.0	ALAP_GDU	0.45	0.52
31.39024	36.76774	6.17	20.24	12.45	9.3	0.31	0.31	-0.037	0.0	0.0	0.0	SELM_GPS	0.6	0.58
31.23985	40.51727	1.01	21.3	5.79	10.22	0.28	0.32	0.022	0.0	0.0	0.0	MUDR_GPS	0.55	0.59
31.23201	39.51101	-2.75	19.79	2.41	8.71	0.58	0.64	-0.007	0.0	0.0	0.0	KYM2_GPS	0.98	1.02
31.1979	41.04456	19.04	25.45	23.63	14.36	0.24	0.33	0.02	0.0	0.0	0.0	AKKO_GDU	0.49	0.61
31.19416	37.16913	3.5	19.17	9.54	8.08	0.23	0.24	-0.156	0.0	0.0	0.0	BSKN_GPS	0.47	0.47
31.16259	39.20068	-4.32	22.03	0.97	10.93	0.11	0.13	0.006	0.0	0.0	0.0	YSUF_GPS	0.26	0.29
