Lon,Lat,Stat,Num
30.916,40.118,CMLN_GPS,4
36.554,40.237,CORD_GPS,4
33.788,40.439,DDKY_GPS,3
35.375,36.82,DKNT_GPS,3
35.803,39.86,DOLK_GPS,3
35.429,38.818,ERKL_GPS,3
35.568,39.102,FELA_GPS,3
36.055,39.183,GMRK_GPS,2
32.421,40.236,GUDU_GPS,3
31.984,36.792,GUND_GPS,4
31.773,36.606,GZLB_GPS,3
31.896,38.326,ILGN_GPS,3
33.405,39.942,IRMA_GPS,3
34.688,39.303,KAHA_GPS,3
32.744,38.764,KAY1_GPS,3
35.076,37.221,KRHY_GPS,4
35.875,40.355,KRLK_GPS,3
37.47,39.283,KVKK_GPS,3
32.968,37.24,KZKB_GPS,3
32.577,39.869,MESE_GPS,3
30.57,40.028,MHGZ_GPS,4
33.203,37.729,MRDV_GPS,4
31.46,40.148,NALL_GPS,3
36.188,38.651,OGUZ_GPS,3
33.256,39.238,PASD_GPS,3
32.756,40.322,PAZR_GPS,3
36.484,38.971,PNRB_GPS,3
36.082,37.977,SAIM_GPS,2
33.294,40.484,SBNZ_GPS,3
37.095,39.786,SIVA_GPS,4
35.018,36.824,SLCH_GPS,4
35.334,39.723,SORG_GPS,3
33.703,40.163,SULA_GPS,3
33.157,38.444,TASP_GPS,3
37.757,39.867,TEKK_GPS,4
36.318,40.136,TSPN_GPS,3
34.458,40.439,UGRL_GPS,3
37.011,39.433,ULAS_GPS,3
36.58,39.894,YLDZ_GPS,3
35.795,36.808,YUMU_GPS,4
36.934,38.799,YZYR_GPS,3
36.912,40.447,ATKY_GPS,2
34.797,41.461,BOYT_GPS,5
33.61,40.609,CANK_GPS,9
34.982,40.57,CORU_GPS,4
37.535,40.229,DOGA_GPS,2
38.388,40.923,GIRS_GPS,6
39.516,40.437,GUMU_GPS,4
33.743,41.93,INBO_GPS,3
33.518,39.843,KKAL_GPS,4
33.457,40.081,KLCK_GPS,2
33.776,41.371,KSTM_GPS,4
37.001,40.685,OZDM_GPS,2
37.336,40.385,RDIY_GPS,4
38.771,39.906,RHIY_GPS,8
37.003,39.744,SIVS_GPS,6
38.075,40.163,SSEH_GPS,6
34.369,40.154,SUNL_GPS,9
35.467,41.138,VEZI_GPS,4
34.816,39.824,YOZT_GPS,3
39.361,39.902,AHMD_GPS,3
37.054,40.863,AKKS_GPS,4
38.743,39.82,ARPY_GPS,3
38.743,40.047,AYDG_GPS,3
39.349,39.762,BHCL_GPS,3
39.494,39.652,BNKC_GPS,2
37.265,40.547,BRKT_GPS,3
39.725,39.582,CLYN_GPS,3
39.593,39.733,EKSU_GPS,3
39.482,39.793,ER98_GPS,4
36.752,40.476,GKDE_GPS,3
37.604,40.778,GURE_GPS,4
37.869,40.313,IKYK_GPS,4
38.121,39.882,IMRN_GPS,2
38.836,40.136,KRDK_GPS,3
37.394,39.921,KSDR_GPS,3
36.485,40.617,KZLU_GPS,3
37.771,40.463,MSDY_GPS,3
36.77,40.68,PBYL_GPS,3
38.448,40.316,SBKH_GPS,3
36.804,40.557,TALN_GPS,3
39.688,39.724,UZUM_GPS,3
34.19466,35.5369,DIPK_GPS,3
34.25585,36.56639,MERS_GPS,13
35.68522,37.37615,KOZA_GPS,4
34.25533,35.52984,BUYU_GPS,1
34.03096,35.42148,SAYO_GPS,1
33.74673,35.3496,ZIYA_GPS,1
31.10426,36.9038,SERK_GPS,2
31.39024,36.76774,SELM_GPS,2
32.95808,35.37535,SADR_GPS,1
33.90739,35.14582,MGOS_GPS,3
33.98229,35.03449,PRLM_GPS,1
33.63197,34.93072,LARN_GPS,1
33.39645,35.14099,NICO_GPS,21
33.36286,35.16107,LEFG_GPS,1
33.3529,35.19505,LEFK_GPS,2
33.0251,34.66758,LSOS_GPS,1
32.98947,35.20125,GYUR_GPS,4
32.42785,34.77388,PAFO_GPS,1
32.42748,35.03302,POLI_GPS,1
32.89991,35.03854,EVRY_GPS,1
34.00084,35.35015,KALE_GPS,1
33.89771,35.30349,IKLE_GPS,1
33.79924,35.16439,KKTE_GPS,1
33.75578,35.10851,KOPL_GPS,1
33.67998,35.17247,DIRE_GPS,1
33.54418,35.29153,YAYL_GPS,1
33.43533,35.14556,GOZC_GPS,1
33.12568,35.22136,KCAT_GPS,1
32.89015,35.12085,KLSE_GPS,1
35.39207,31.5932,DRAG_GPS,11
35.36882,31.03691,DSEA_GPS,7
35.33145,32.7825,NZRT_GPS,4
35.20967,32.10383,YOSH_GPS,9
35.20245,31.77115,JSLM_GPS,8
35.14506,33.02282,KABR_GPS,12
35.03604,30.03842,NRIF_GPS,8
35.02298,32.77899,BSHM_GPS,11
34.9206,29.50928,ELAT_GPS,7
34.86631,31.37782,LHAV_GPS,10
34.7809,32.068,TELA_GPS,10
34.28382,31.22818,SLOM_GPS,5
37.30934,37.04126,GAZT_GPS,3
37.10605,36.68511,KILS_GPS,8
41.15448,37.8636,BTMN_GPS,6
40.27582,37.91529,DYR2_GPS,4
40.87802,37.55039,SAVR_GPS,2
40.72829,37.3105,MARD_GPS,5
38.81802,37.19185,SURF_GPS,5
38.22968,37.74586,ADIY_GPS,9
37.37361,37.06496,ANTE_GPS,4
36.93113,37.58076,MARA_GPS,4
36.5988,36.73683,AKAB_GPS,3
36.52351,36.78796,HASA_GPS,8
36.46507,36.53105,ABAK_GPS,8
36.46013,36.84267,CRAK_GPS,3
36.40229,37.2193,ELLK_GPS,3
36.32984,37.57249,ANDR_GPS,6
36.25386,37.10219,ONIY_GPS,6
36.21633,36.37856,SERI_GPS,3
36.18007,36.53991,ISKE_GPS,8
36.15275,36.20828,HATA_GPS,5
36.14608,36.53803,ISKN_GPS,3
35.91233,37.81512,FEEK_GPS,4
35.34374,37.00418,ADN1_GPS,2
35.34016,36.5427,KRTA_GPS,4
34.87166,37.42211,POZA_GPS,4
34.67944,37.95877,NIGD_GPS,6
34.60259,36.781,MRSI_GPS,4
34.29382,37.03177,ARS1_GPS,2
34.22217,36.52944,TRTR_GPS,2
34.18337,37.44508,HALP_GPS,4
34.15478,36.71803,EREN_GPS,3
33.9364,36.38189,SILF_GPS,6
33.84056,36.83808,KIRO_GPS,2
33.69401,37.10246,PNKY_GPS,2
33.62978,36.18831,OVAC_GPS,2
33.31188,36.80953,AKGE_GPS,3
33.22027,37.19323,KAMN_GPS,5
32.91015,36.32113,ABAN_GPS,3
32.86511,36.06902,ANMU_GPS,6
32.67583,37.03157,BDML_GPS,2
