Lon,Lat,E.vel,N.vel,E.adj,N.adj,E.sig,N.sig,Corr,U.vel,U.adj,U.sig,Stat,Ref
41.8291,19.0962,7.56,16.65,34.28,27.14,0.38,0.37,0.001,1.26,1.26,0.42,MAJR_GPS,viltres_2022_eura
41.829,19.096,5.7,15.67,32.42,26.16,1.17,1.1,0.018,2.11,2.11,3.12,MAJR_GPS,mcclusky_2010_eura
41.829,19.096,7.83,16.85,34.55,27.34,0.44,0.43,-0.005,-4.06,-4.06,7.71,MAJR_GPS,viltres_2020_eura
41.829,19.096,5.79,15.25,32.51,25.74,1.16,1.09,0.017,0.2,0.2,3.0,MAJR_GPS,graham_2021_eura
41.829,19.096,5.63,14.94,32.35,25.43,1.4,1.31,0.0,0.09,0.09,3.0,MAJR_GPS,nocquet_2012_eura
42.1838,12.4159,14.1,16.34,40.14,26.76,0.46,0.45,0.003,1.84,1.84,0.73,MAN2_GPS,viltres_2022_eura
42.184,12.416,14.7,16.36,40.74,26.78,0.51,0.5,-0.011,6.21,6.21,9.08,MAN2_GPS,viltres_2020_eura
42.182,12.414,16.05,15.63,42.09,26.05,2.37,2.29,-0.004,0.17,0.17,3.0,SNTB_GPS,graham_2021_eura
42.18,12.41,14.83,16.4,40.87,26.82,2.41,2.34,-0.025,0.29,0.29,3.0,SNTB_GPS,wedmore_2021_eura
42.0446,19.2114,7.76,17.21,34.5,27.66,0.13,0.13,-0.001,2.04,2.04,0.58,NAMA_GPS,viltres_2022_eura
42.045,19.211,8.0,18.02,34.74,28.47,1.31,1.19,0.034,-5.75,-5.75,6.42,NAMA_GPS,alchalbi_2013_eura
42.045,19.211,7.73,17.73,34.47,28.18,0.26,0.3,0.024,2.07,2.07,3.11,NAMA_GPS,mcclusky_2010_eura
42.045,19.211,7.81,17.24,34.55,27.69,0.31,0.3,0.001,0.2,0.2,3.0,NAMA_GPS,graham_2021_eura
42.04465,19.21143,7.89,17.32,34.63,27.77,0.62,0.59,-0.001,1.55,1.55,1.94,NAMA_GPS,castro_2021_eura
42.0446,19.2114,6.9,17.25,33.64,27.7,0.91,0.28,0.002,-0.46,-0.46,3.0,NAMA_GPS,saleh_2015_eura
42.0446,19.2114,7.89,17.25,0.0,0.0,0.1,0.13,0.001,0.15,0.0,0.47,NAMA_GPS,serpelloni_2022_eura
42.045,19.211,7.87,17.28,34.61,27.73,0.32,0.31,0.0,-4.08,-4.08,8.0,NAMA_GPS,viltres_2020_eura
42.045,19.211,8.48,17.63,35.22,28.08,0.9,0.87,0.005,0.8,0.8,3.0,NAMA_GPS,reilinger_2006_eura
42.0447,19.2114,7.66,17.37,34.4,27.82,0.13,0.12,-0.004,-0.92,-0.92,3.03,NAMA_GPS,hamiel_2021_eura
42.045,19.211,7.71,16.98,34.45,27.43,0.24,0.24,0.0,0.09,0.09,3.0,NAMA_GPS,nocquet_2012_eura
42.04465,19.21143,7.78,16.76,34.52,27.21,0.2,0.22,-0.023,0.25,0.25,0.34,NAMA_GPS,wedmore_2021_eura
42.5559,11.6173,15.08,16.18,41.03,26.51,0.44,0.49,0.004,1.97,1.97,0.77,PGMD_GPS,viltres_2022_eura
42.556,11.617,14.9,16.3,40.85,26.63,0.61,0.8,0.003,6.08,6.08,3.53,PGMD_GPS,mcclusky_2010_eura
42.556,11.617,14.68,15.02,40.63,25.35,0.71,0.93,0.0,0.1,0.1,3.0,PGMD_GPS,nocquet_2012_eura
42.56,11.62,16.06,16.75,42.01,27.08,0.9,0.7,0.02,0.17,0.17,3.0,GM00_GPS,graham_2021_eura
42.556,11.617,14.93,15.35,40.88,25.68,0.58,0.77,0.0,0.17,0.17,3.0,PGMD_GPS,graham_2021_eura
42.556,11.617,14.42,15.69,40.37,26.02,0.63,0.63,-0.012,7.68,7.68,10.68,PGMD_GPS,viltres_2020_eura
42.8841,11.7891,13.61,17.33,39.59,27.59,0.45,0.48,0.004,2.01,2.01,0.77,PTDJ_GPS,viltres_2022_eura
42.884,11.789,13.96,16.92,39.94,27.18,0.87,0.4,0.0,0.1,0.1,3.0,PTDJ_GPS,nocquet_2012_eura
42.884,11.789,13.27,16.58,39.25,26.84,0.78,0.65,-0.007,7.66,7.66,10.48,PTDJ_GPS,viltres_2020_eura
42.884,11.789,14.2,17.25,40.18,27.51,0.72,0.32,0.002,0.17,0.17,3.0,PTDJ_GPS,graham_2021_eura
42.884,11.789,14.14,18.19,40.12,28.45,0.75,0.38,0.006,6.02,6.02,3.52,PTDJ_GPS,mcclusky_2010_eura
34.7631,30.5976,-2.82,7.54,23.53,19.54,0.07,0.07,0.006,-0.79,-0.79,0.56,RAMO_GPS,viltres_2022_eura
34.763,30.598,-0.39,8.71,25.96,20.71,0.55,0.55,0.0,0.92,0.92,3.0,RAMO_GPS,reilinger_2006_eura
34.76314,30.59761,-2.76,7.69,23.59,19.69,0.35,0.35,0.0,0.97,0.97,1.07,RAMO_GPS,castro_2021_eura
34.763,30.598,-2.85,7.6,23.5,19.6,0.1,0.11,-0.005,0.23,0.23,0.2,RAMO_GPS,sokhadze_2018_eura
34.76313,30.5976,-2.91,7.17,23.44,19.17,0.21,0.38,0.001,0.69,0.69,0.51,RAMO_GPS,euref_all_eura
34.763,30.598,-3.0,7.7,23.35,19.7,0.09,0.1,-0.021,-0.0,-0.0,3.0,RAMO_GPS,ozdemir_2019_eura
34.7631,30.5976,-3.0,7.23,23.35,19.23,0.14,0.14,0.0,0.26,0.26,0.4,RAMO_GPS,pinaValdes_2022_eura
34.76314,30.59761,-3.07,7.55,23.28,19.55,0.21,0.34,0.094,-2.7,-2.7,3.04,RAMO_GPS,perry_2018_eura
34.763,30.598,-3.05,7.32,23.3,19.32,0.13,0.13,0.0,0.09,0.09,3.0,RAMO_GPS,nocquet_2012_eura
34.7631,30.5976,-2.83,7.56,23.52,19.56,0.08,0.08,-0.009,0.15,0.15,3.0,RAMO_GPS,bougrine_2019_eura
